ranking,world_rank,university,presence_rank,impact_rank,openness_rank,excellence_rank
212.0,4236.0,Acharya Nagarjuna University,13274.0,7514.0,11400.0,2653.0
213.0,4237.0,Nagpur University,7132.0,7849.0,11400.0,2684.0
214.0,4242.0,Sher-i-Kashmir Institute of Medical Sciences SKIMS,6954.0,10252.0,2564.0,4016.0
215.0,4246.0,Inter-University Centre for Astronomy and Astrophysics,4864.0,10846.0,11400.0,2063.0
216.0,4262.0,Pandit Ravishankar Shukla University,7931.0,9011.0,5917.0,3847.0
217.0,4316.0,Sambalpur University,13858.0,10559.0,2178.0,4016.0
218.0,4328.0,Nitte University,13218.0,10052.0,1872.0,4189.0
219.0,4335.0,Veer Narmad South Gujarat University,5180.0,9317.0,3972.0,4189.0
220.0,4373.0,College of Engineering Thiruvananthapuram,9779.0,10874.0,4441.0,3766.0
221.0,4375.0,(1) Banasthali University,15503.0,8187.0,11400.0,2684.0
222.0,4387.0,(1) Jai Narain Vyas University,26875.0,11586.0,3691.0,3322.0
223.0,4394.0,Tripura University,8483.0,9369.0,2283.0,4396.0
224.0,4400.0,Vishwakarma Institute of Technology Pune,13182.0,11672.0,4980.0,3510.0
225.0,4441.0,Jawaharlal Nehru Technological University Kakinada,7132.0,9522.0,8007.0,3683.0
226.0,4443.0,Punjab Technical University Jalandhar,9926.0,7648.0,3972.0,4553.0
227.0,4444.0,Mahatma Jyotiba Phule Rohilkhand University,12506.0,8578.0,2287.0,4553.0
228.0,4476.0,Andhra University,26123.0,9341.0,11400.0,2296.0
229.0,4482.0,Institute of Management Technology Ghaziabad,20001.0,7467.0,4144.0,4466.0
230.0,4535.0,International Institute of Information Technology Bangalore,10207.0,7276.0,3444.0,4755.0
231.0,4538.0,Rajiv Gandhi Centre for Biotechnology,18248.0,9994.0,1708.0,4396.0
232.0,4545.0,Government College of Technology Coimbatore,14457.0,13380.0,3546.0,3510.0
233.0,4570.0,Government College of Engineering Pune,7908.0,7517.0,11400.0,3243.0
234.0,4593.0,Indian Institute of Management Kozhikode,4926.0,5031.0,3803.0,5275.0
235.0,4597.0,Jaipur National University,11058.0,7827.0,7535.0,4256.0
236.0,4643.0,(1) Berhampur University,16489.0,11836.0,3605.0,3912.0
237.0,4660.0,National Institute of Virology,23715.0,11847.0,5656.0,3510.0
238.0,4671.0,Amet University,9093.0,12111.0,4283.0,3912.0
239.0,4683.0,Saurashtra University,6231.0,7249.0,11400.0,3510.0
240.0,4694.0,Kumaraguru College of Technology,12875.0,11837.0,4132.0,3959.0
241.0,4698.0,(1) Tamil Nadu Veterinary and Animal Sciences University,14019.0,10171.0,3804.0,4317.0
242.0,4724.0,Gurukula Kangri Vishwavidyalaya,13289.0,10963.0,2279.0,4396.0
243.0,4737.0,Solapur University,14298.0,10635.0,11400.0,2612.0
244.0,4843.0,Gulbarga University Kalaburagi,27410.0,13044.0,4762.0,3369.0
245.0,4851.0,Bidhan Chandra Krishi Viswavidyalaya,13897.0,10751.0,3638.0,4396.0
246.0,4870.0,International Institute for Population Sciences,15868.0,8994.0,11400.0,3168.0
247.0,4909.0,Gujarat Technological University,5984.0,5679.0,11400.0,4127.0
248.0,4981.0,Dharmsinh Desai University (D D Institute of Technology),19696.0,11700.0,3727.0,4256.0
249.0,5016.0,Sharda University,7736.0,4973.0,805.0,6020.0
250.0,5019.0,Avinashilingam University for Women,3316.0,11986.0,3768.0,4466.0
251.0,5030.0,Sri Jayachamarajendra College of Engineering,14019.0,14853.0,3023.0,3847.0
252.0,5041.0,Lala Lajpat Rai University of Veterinary and Animal Sciences,10511.0,13449.0,3541.0,4127.0
253.0,5047.0,Kalasalingam University,14327.0,11272.0,11400.0,2827.0
254.0,5050.0,Chhatrapati Shahu Ji Maharaj University Kanpur,10925.0,6426.0,9974.0,4553.0
255.0,5057.0,Navsari Agricultural University,6258.0,10738.0,4729.0,4553.0
256.0,5088.0,(3) Anna University Madras Institute of Technology,7943.0,3494.0,3924.0,6020.0
257.0,5098.0,South Asia University Delhi,11763.0,10614.0,11400.0,3115.0
258.0,5115.0,Ramakrishna Mission Vivekananda University,13842.0,12477.0,5344.0,4127.0
259.0,5131.0,Maulana Azad Medical College,18477.0,10165.0,11400.0,3141.0
260.0,5142.0,Indian Institute of Information Technology and Management Kerala,11907.0,3373.0,4334.0,6020.0
261.0,5142.0,Sri Chandrasekharendra Saraswathi Viswa Maha Vidyalaya,11634.0,12187.0,4755.0,4317.0
262.0,5250.0,"Advanced Centre for Treatment, Research & Education in Cancer",12746.0,9032.0,1884.0,5275.0
263.0,5269.0,Dr Babasaheb Ambedkar Marathwada University Aurangabad,11011.0,10740.0,3896.0,4755.0
264.0,5297.0,Arunai Engineering College,24543.0,2307.0,6564.0,6020.0
265.0,5330.0,University of Agricultural Sciences Dharwad,23031.0,10536.0,9555.0,3912.0
